PSRJ,RA,Dec,l,b,Period,Pdot,Edot,DM,DIST,TS,Edot/D2
J0006+1834,358.9575,22.77138888888889,106.52968533749868,-38.32277946967497,0.69374767047,2.097e-15,2.4794397172145643e+32,11.41,0.86,-1.4589400961995125e-05,3.3524063239785894e+32
J0011+08,1.52,18.583055555555557,108.17213576608741,-42.98498835673797,2.55287,0.0,0.0,24.9,5.399,5.2394886885304,0.0
J0021-0909,2.891666666666666,8.166666666666666,106.22826909267506,-53.40705009164144,2.314130829094102,1.0389090898677685e-15,3.3095851448655936e+30,25.2,25.0,2.6768060592003167,5.29533623178495e+27
J0034-0721,5.464458333333333,-9.166305555555557,100.29090340385065,-70.72645630325351,0.9429509945597656,4.082100067114921e-16,1.9221001589575745e+31,10.922,1.03,4.048239316791296,1.8117637467787488e+31
J0038-2501,8.536959583333333,-7.364835833333333,110.42044663712129,-69.81547568160013,0.2569264575329,7.6e-19,1.7690774316190028e+30,5.71,0.604,55.37407951161731,4.8492320282526064e+30
J0039+35,9.542766666666665,-25.02520277777778,67.41328769973707,-86.35368585034863,0.5367,0.0,0.0,53.04,25.0,5.4716113288886845,0.0
J0048+3412,9.775,35.75,120.12129533181988,-27.054406817734044,1.2170942960575557,2.354540983090378e-15,5.155767322319507e+31,39.922,4.5,24.042590665630996,2.5460579369479046e+30
J0050+03,12.141599166666666,34.202235333333334,122.25526280190384,-28.665739500868593,1.36656,0.0,0.0,26.5,25.0,5.385608199168928,0.0
J0051+0423,12.629166666666666,3.8,122.48481007314314,-59.07094781096082,0.3547317989,7e-18,6.190951658612463e+30,13.9,1.247,0.001183539628982544,3.98129635173331e+30
J0057-7201,12.875416666666666,4.380277777777778,122.96233367442873,-58.49146604298863,0.7380624426,1e-16,9.819297498732461e+30,27.0,3.476,0.0020622728625312448,8.126824527097915e+29
J0107+1322,14.433333333333332,-72.02194444444444,302.2438291989547,-45.097896066169625,1.1973833938,6.87e-16,1.5798533724277894e+31,21.671,2.349,1.9185245037078857e-07,2.8631938201971926e+30
J0108-1431,16.916458333333335,13.375472222222223,128.9914703962031,-49.30525064084716,0.807564614019424,7.70397323650844e-17,5.774875954991473e+30,2.38,0.21,-0.00024798233062028885,1.3094956814039623e+32
J0122+1416,17.034779233333328,-14.530607527777779,140.93050386000505,-76.81514116286601,1.38899395038,3.803e-15,5.602540432960178e+31,17.693,1.584,0.0,2.2329276161871947e+31
J0125-23,20.50545833333333,14.27138888888889,134.02967769347995,-47.94024734204595,0.00367586,0.0,0.0,10.0,0.918,4.679880523355678,0.0
J0133-6957,21.291666666666664,-23.45722222222222,189.06938418543857,-81.54144406139493,0.463473741703,1.2e-16,4.758450770965691e+31,22.948,2.441,0.0,7.986013165042721e+30
J0134-2937,23.38525,-69.95824444444445,297.6906022235941,-46.73919678349,0.13696161051365074,7.836990207406537e-17,1.2042384185524356e+33,21.806,25.0,1.0210073621710762,1.926781469683897e+30
J0137+1654,23.57784333333333,-29.621400555555557,230.25107585989576,-80.24973921467095,0.4147630265082,1.223e-17,6.766842826131918e+30,26.0838,3.061,2.47052774799522,7.22203235948212e+29
J0139+3336,24.349499999999995,16.911694444444443,138.44918006350719,-44.570853007376634,1.2479609557,2.064e-15,4.192435942634615e+31,21.23,1.472,0.32482843298930675,1.9348656546451403e+31
J0146+31,24.98845833333333,33.61658333333334,134.38073127694486,-28.174293618998572,0.9381,0.0,0.0,25.0,1.826,4.989702433347702,0.0
J0151-0635,26.562499999999996,31.066666666666666,136.53204856744978,-30.35342962754841,1.464664549333674,4.425913626891812e-16,5.560939380224087e+30,25.66,25.0,-0.020070807309821248,8.897503008358539e+27
J0152+0948,27.844657916666666,-6.584163055555555,160.3681895237308,-65.00382378117328,2.74664729014,1.7e-15,3.238918189362406e+30,22.881,2.477,1.343544436735101,5.278955065426969e+29
J0152-1637,28.098875,9.802777777777779,146.81187310995432,-50.221237495541956,0.8327416126877758,1.2992016095116276e-15,8.881891938510714e+31,11.92577,0.92,3.644988355692476,1.0493728660811335e+32
J0154+1833,28.04522458333333,-16.631566944444444,179.30581916288017,-72.4565557873747,0.0023645697763005993,2.918601298491007e-21,8.71521500275439e+33,19.7978,1.622,19.6680416042218,3.312656507377136e+33
J0156+04,28.653678041666662,18.564099444444444,143.18500449739417,-41.809658621816034,0.0,0.0,0.0,27.5,25.0,1.6850103619508445,0.0
J0156+3949,29.004166666666663,4.033333333333333,151.97485871941484,-55.15487432817626,1.8115606113139169,1.516169353990392e-16,1.0068130659997316e+30,59.833,4.916,0.24571292649488896,4.166055915125663e+28
J0158+21,29.23018958333333,39.82459641666667,136.36949629244776,-21.332363045808158,0.5053,0.0,0.0,20.0,1.569,4.136450213380158,0.0
J0206-4028,29.62083333333333,21.133333333333333,143.20768001425955,-39.08421881100792,0.6305512595685335,1.1965618242943554e-15,1.884229013539864e+32,12.9,1.26,-5.256826989352703e-05,1.1868411523934642e+32
J0211-8159,31.505387499999998,-40.46767222222223,258.59478058850686,-69.63294186044455,1.0773327013,2.9e-16,9.156051079167073e+30,24.36,1.523,11.925707072019577,3.947375126229107e+30
J0220+36,32.99583333333332,-81.99338888888889,299.59213432165643,-34.60571144386327,1.0297,0.0,0.0,40.0,2.246,3.6877968839835376,0.0
J0229+20,35.20833333333333,36.36666666666667,142.37648042421415,-23.106805750661948,0.8069,0.0,0.0,27.0,2.089,0.0,0.0
J0241+16,37.262499999999996,20.966666666666665,151.57927203035976,-36.41667658858952,1.5454,0.0,0.0,16.0,0.936,-0.0064560966566205025,0.0
J0244+14,40.44166666666667,16.066666666666666,157.9637312839593,-39.18533049019054,2.1281,0.0,0.0,31.0,2.796,0.08934927580412477,0.0
J0255-5304,41.2125,14.45,159.91427792893194,-40.14040774323371,0.44770847319884904,3.1289133095648354e-17,1.3764718241781172e+31,15.9,1.514,-3.480818122625351e-08,6.005035451497678e+30
J0302+2252,43.98455208333332,-53.07257638888889,269.86151567755434,-55.31002447163721,1.207164839778,8.25e-17,1.8514583749723866e+30,18.9922,1.014,0.06922917522024363,1.800686226140139e+30
J0304+1932,45.63329166666666,22.87002777777778,158.43597520744848,-30.815430205660842,1.387584446262276,1.2952352836766371e-15,1.9139479988708576e+31,15.65677,0.739,1.1641532182693481e-10,3.504622599883282e+31
J0305+11,46.13797916666666,19.547611111111113,161.13522354611118,-33.27036646595256,0.8621,0.0,0.0,27.97,1.838,0.5377460909076035,0.0
J0317+13,46.27499999999999,11.383333333333333,167.46315327046395,-39.66219824808025,1.9743,0.0,0.0,12.9,0.366,0.4295365458820015,0.0
J0329+1654,49.474999999999994,13.483333333333333,168.7627145382993,-36.03977133326977,0.893319660649,2.1525e-16,1.1920163710709027e+31,40.821,2.557,1.7123191597638652,1.8231431245137693e+30
J0337+1715,52.28562499999999,16.900555555555552,168.49919704220204,-31.68271450113595,0.0027325886324418656,1.7665524732273266e-20,3.417932697938785e+34,21.3162,1.3,11.297688852413557,2.0224453833957306e+34
J0343-3000,54.432607874999995,17.25411888888889,169.9896885425739,-30.039482236976255,2.59702715738,5.7e-17,1.2847100426617301e+29,20.2,1.594,0.6054153374861926,5.056249370922524e+28
